,INPC,Subyacente,Mercancìas,Servicios,No subyacente,Agropecuarios,Energéticos
2Q Feb 2012,-0.04688098,0.058030467,0.116714813,0.008627603,-0.386249776,-1.056257662,-0.012401558
1Q Mar 2012,0.047860172,0.163382522,0.142706072,0.180807609,-0.328983872,-0.948207879,0.012921072
2Q Mar 2012,0.066015442,0.103692308,0.101562096,0.105486861,-0.056741944,-0.276186219,0.063259943
1Q Abr 2012,-0.416865857,0.02796779,0.17419711,-0.095215332,-1.876814916,-0.910808992,-2.403277902
2Q Abr 2012,0.141137162,0.141522154,0.19221948,0.098699718,0.140616766,-0.038269386,0.239598675
1Q May 2012,-0.477464262,0.143205405,0.129927886,0.154430985,-2.55037818,0.280064556,-4.112187193
2Q May 2012,0.184965752,0.102944213,0.151306424,0.062066013,0.463818502,0.792815969,0.273965574
1Q Jun 2012,0.241357758,0.102340406,0.261370436,-0.032199747,0.716370558,1.395938086,0.322186777
2Q Jun 2012,0.253247127,0.123901122,0.05038844,0.186275834,0.69429167,1.615523253,0.154211143
1Q Jul 2012,0.389436418,0.204884945,0.230905234,0.182836957,1.015701042,2.252218832,0.28020403
2Q Jul 2012,0.089594632,0.088808211,0.122443432,0.060294125,0.090004797,-0.161276416,0.242409404
1Q Ago 2012,0.13617621,0.156062083,0.275647182,0.054621466,0.069036907,-0.352270797,0.323535274
2Q Ago 2012,0.237746543,0.047618254,0.111835189,-0.006975469,0.878240522,2.056858435,0.171071521
1Q Sep 2012,0.249516147,0.118503727,0.192597362,0.05543853,0.68468864,1.56516989,0.146455833
2Q Sep 2012,0.143848127,0.069307026,0.157895293,-0.00619872,0.390488915,1.849979983,-0.514327998
1Q Oct 2012,0.449824701,0.167823522,0.173608527,0.162884741,1.38104748,-0.38802918,2.503857633
2Q Oct 2012,-0.032927231,0.050380297,0.069232233,0.034284282,-0.303436966,-1.180257048,0.237369019
1Q Nov 2012,0.788631658,0.178270359,0.347738789,0.033525583,2.78566407,-0.327556499,4.678682984
2Q Nov 2012,-0.183943678,-0.302953941,0.00424575,-0.566160606,0.195548717,0.233660289,0.173482963
1Q Dic 2012,0.274085369,0.258650828,0.346939081,0.182572096,0.323553998,0.262826603,0.358734934
2Q Dic 2012,0.097020356,0.028646637,0.211519795,-0.129195247,0.310795566,0.719901811,0.074016334
1Q Ene 2013,0.15377733,0.177048152,0.165187516,0.187320256,0.08158353,-0.557475509,0.453840163
2Q Ene 2013,0.399207169,0.465162694,-0.058381471,0.918486745,0.191060397,-0.084891525,0.350186153
1Q Feb 2013,0.238201164,0.243167942,0.165903201,0.309421994,0.220793023,-0.027405753,0.363294603
2Q Feb 2013,0.11003338,0.065959512,0.019298137,0.105914114,0.251990722,0.186023153,0.289718097
1Q Mar 2013,0.520929545,0.255305218,0.200734918,0.301991541,1.362816366,2.918851467,0.473827727
2Q Mar 2013,0.312408115,0.024931253,-0.002813274,0.048643461,1.212827942,3.134049374,0.088491655
1Q Abr 2013,-0.09343055,0.050782344,0.144619405,-0.027745013,-0.557282014,0.210447351,-1.04590017
2Q Abr 2013,0.007334739,0.033548708,0.001048668,0.060793193,-0.076349631,-0.514144186,0.205820481
1Q May 2013,-0.345624232,0.142612405,0.142174036,0.142979667,-1.925751755,-0.437052543,-2.878363664
2Q May 2013,0.018399095,0.075928056,0.057448147,0.091410221,-0.170206416,-0.642714142,0.139749347
1Q Jun 2013,-0.046909061,0.070778037,0.041773122,0.095069633,-0.43630607,-2.104762555,0.649616616
2Q Jun 2013,-0.046931076,0.039184586,-0.111781148,0.165550959,-0.333961084,-1.192493138,0.209526936
1Q Jul 2013,0,0.035166439,-0.062442853,0.116644406,-0.117036933,-0.779105951,0.296217627
2Q Jul 2013,-0.019333634,-0.041579245,-0.086919024,-0.003800209,0.052989418,-0.282106564,0.259909285
1Q Ago 2013,0.260594118,0.104721133,0.250416083,-0.016577198,0.782556942,1.351222073,0.433307792
2Q Ago 2013,0.067964108,0.012911439,0.107311523,-0.065891223,0.251399821,0.624902345,0.019914464
1Q Sep 2013,0.337754119,0.301638379,0.362572394,0.250684135,0.456273776,0.54383695,0.401676564
2Q Sep 2013,0.010061927,0.031539868,-0.009639529,0.066013337,-0.062831614,-0.241306785,0.048608429
1Q Oct 2013,0.401521942,0.136054813,0.13500261,0.136935002,1.283234751,-0.948169665,2.6724881
2Q Oct 2013,0.136645623,0.080398886,-0.049949018,0.189435463,0.317905146,0.705781012,0.084932817
1Q Nov 2013,0.850595417,0.111524397,0.030035311,0.179527494,3.267288688,2.340669843,3.827302078
2Q Nov 2013,0.024355482,-0.032998955,-0.059270403,-0.011108,0.205126939,0.521500759,0.016660292
1Q Dic 2013,0.40312035,0.304783436,0.283675402,0.322363452,0.712479733,0.797576031,0.661531252
2Q Dic 2013,0.317069666,0.078811185,0.20484125,-0.026113602,1.066609697,1.512413177,0.799339463
1Q Ene 2014,0.676008417,0.69109392,1.137812793,0.318324423,0.627329592,-0.939888462,1.573562464
