,INPC,Subyacente,Mercancìas,Servicios,No subyacente,Agropecuarios,Energéticos
1Q Ene 2020,0.266716931,0.203350695,0.517371889,-0.135607301,0.457629649,0.65343924,0.314909932
2Q Ene 2020,0.110914765,0.16387434,0.196670102,0.128242759,-0.046888934,-0.136200272,0.01842709
1Q Feb 2020,0.122058851,0.216161916,0.241780604,0.18830898,-0.159406544,0.137967974,-0.37654911
2Q Feb 2020,0.473573652,0.131249353,0.108909393,0.155550579,1.502206674,3.345449155,0.149321688
1Q Mar 2020,0.105468495,0.155704339,0.192868931,0.115295825,-0.044287171,-0.084534469,-0.013804118
2Q Mar 2020,-0.775728644,0.143954828,0.211481516,0.070477164,-3.505015931,-0.511717295,-5.770518033
1Q Abr 2020,-0.720715642,0.200589226,0.400024481,-0.016727589,-3.560515505,-0.78205078,-5.780778599
2Q Abr 2020,0.188348871,0.172128528,0.254673654,0.08180741,0.240871606,0.494921418,0.027090575
1Q May 2020,0.29569029,0.242492263,0.355735494,0.118367162,0.463147043,2.430749127,-1.200319383
2Q May 2020,-0.00847721,-0.059995384,-0.03758841,-0.084613737,0.157818671,-2.611013273,2.584697936
1Q Jun 2020,0.317451346,0.294934445,0.428384991,0.148244444,0.387011511,-0.921621994,1.475933764
2Q Jun 2020,0.465749566,0.205492739,0.386927475,0.00550023,1.293697867,0.300644437,2.100500459
1Q Jul 2020,0.355170061,0.247254102,0.364800039,0.117190975,0.694907716,-0.263971123,1.460212197
2Q Jul 2020,0.135977126,0.091208899,0.155382233,0.020026286,0.279045997,0.16278355,0.370261003
1Q Ago 2020,0.241822223,0.180370318,0.261782829,0.089943381,0.434198398,0.749275981,0.187511737
2Q Ago 2020,0.166083673,0.181118838,0.251221734,0.103120094,0.119886885,0.09904887,0.136293268
1Q Sep 2020,0.163029382,0.165097768,0.161059302,0.169597743,0.154126996,0.167475813,0.143620988
2Q Sep 2020,-0.032367847,0.11945341,0.264108846,-0.041719275,-0.505886299,-0.356715122,-0.623317446
1Q Oct 2020,0.544880987,0.144653494,0.124412822,0.167274313,1.804129827,0.897456498,2.519799746
2Q Oct 2020,0.16193438,0.069864384,0.072561319,0.0668516,0.447035905,1.458082572,-0.338390675
1Q Nov 2020,0.044092521,-0.106764519,-0.295169891,0.103717785,0.5062592,-0.938915666,1.649173184
2Q Nov 2020,-0.100082637,-0.02476993,-0.094660437,0.052999066,-0.328721619,-0.350779497,-0.311721337
1Q Dic 2020,0.337313076,0.521518328,0.774320001,0.240634439,-0.230636493,-1.081073666,0.42454922
2Q Dic 2020,0.188699985,0.076596102,0.086357373,0.065692767,0.537355491,-0.092557001,1.015370912

