,INPC,Subyacente,Nosubyacente,,,,,
1Q Ene 2020,0.266716931,0.203350695,0.457629649,,,,,
2Q Ene 2020,0.110914765,0.16387434,-0.046888934,,,,,
1Q Feb 2020,0.122058851,0.216161916,-0.159406544,,,,,
2Q Feb 2020,0.473573652,0.131249353,1.502206674,,,,,
1Q Mar 2020,0.105468495,0.155704339,-0.044287171,,,,,
2Q Mar 2020,-0.775728644,0.143954828,-3.505015931,,,,,
1Q Abr 2020,-0.720715642,0.200589226,-3.560515505,,,,,
2Q Abr 2020,0.188348871,0.172128528,0.240871606,,,,,
1Q May 2020,0.29569029,0.242492263,0.463147043,,,,,
2Q May 2020,-0.00847721,-0.059995384,0.157818671,,,,,
1Q Jun 2020,0.317451346,0.294934445,0.387011511,,,,,
2Q Jun 2020,0.465749566,0.205492739,1.293697867,,,,,
1Q Jul 2020,0.355170061,0.247254102,0.694907716,,,,,
2Q Jul 2020,0.135977126,0.091208899,0.279045997,,,,,
1Q Ago 2020,0.241822223,0.180370318,0.434198398,,,,,
